County,Size
"Pulaski County, Illinois",199.19
"Putnam County, Illinois",160.16
"Randolph County, Illinois",575.50
"Richland County, Illinois",359.99
"Rock Island County, Illinois",427.64
"Saline County, Illinois",379.82
"Sangamon County, Illinois",868.30
"Schuyler County, Illinois",437.27
"Scott County, Illinois",250.91
"Shelby County, Illinois",758.52
"St. Clair County, Illinois",657.76
"Stark County, Illinois",288.08
"Stephenson County, Illinois",564.52
"Tazewell County, Illinois",648.97
"Union County, Illinois",413.46
"Vermilion County, Illinois",898.37
"Wabash County, Illinois",223.25
"Warren County, Illinois",542.41
"Washington County, Illinois",562.57
"Wayne County, Illinois",713.81
"White County, Illinois",494.77
"Whiteside County, Illinois",684.25
"Will County, Illinois",836.91
"Williamson County, Illinois",420.15
"Winnebago County, Illinois",513.36
"Woodford County, Illinois",527.80
"Adams County, Indiana",339.03
"Allen County, Indiana",657.31
"Bartholomew County, Indiana",406.91
"Benton County, Indiana",406.42
"Blackford County, Indiana",165.08
"Boone County, Indiana",422.91
"Brown County, Indiana",311.98
"Carroll County, Indiana",372.22
"Cass County, Indiana",412.16
"Clark County, Indiana",372.86
"Clay County, Indiana",357.54
"Clinton County, Indiana",405.07
"Crawford County, Indiana",305.64
"Daviess County, Indiana",429.49
"Dearborn County, Indiana",305.03
"Decatur County, Indiana",372.57
"DeKalb County, Indiana",362.82
"Delaware County, Indiana",392.12
"Dubois County, Indiana",427.27
"Elkhart County, Indiana",463.17
"Fayette County, Indiana",215.01
"Floyd County, Indiana",147.94
"Fountain County, Indiana",395.66
"Franklin County, Indiana",384.43
"Fulton County, Indiana",368.39
"Gibson County, Indiana",487.49
"Grant County, Indiana",414.07
"Greene County, Indiana",542.5
"Hamilton County, Indiana",394.27
"Hancock County, Indiana",306.02
"Harrison County, Indiana",484.52
"Hendricks County, Indiana",406.91
"Henry County, Indiana",391.88
"Howard County, Indiana",293.06
"Huntington County, Indiana",382.65
"Jackson County, Indiana",509.31
"Jasper County, Indiana",559.63
"Jay County, Indiana",383.91
"Jefferson County, Indiana",360.63
"Jennings County, Indiana",376.58
"Johnson County, Indiana",320.43
"Knox County, Indiana",516.03
"Kosciusko County, Indiana",531.38
"LaGrange County, Indiana",379.62
"Lake County, Indiana",498.96
"LaPorte County, Indiana",598.3
"Lawrence County, Indiana",449.17
"Madison County, Indiana",451.92
"Marion County, Indiana",396.3
"Marshall County, Indiana",443.63
"Martin County, Indiana",335.74
"Miami County, Indiana",373.84
"Monroe County, Indiana",394.51
"Montgomery County, Indiana",504.61
"Morgan County, Indiana",403.97
"Newton County, Indiana",401.76
"Noble County, Indiana",410.84
